CMDLINE converter_split.py
MEM 59.203125 1647555958.4066
MEM 66.281250 1647555958.4174
MEM 82.703125 1647555958.4277
MEM 95.945312 1647555958.4382
MEM 110.023438 1647555958.4484
MEM 124.714844 1647555958.4588
FUNC __main__.decode 59.3594 1647555958.4076 169.1953 1647555958.5074 0
FUNC __main__.select 169.1953 1647555958.5075 179.4414 1647555958.5208 0
FUNC __main__.filter 78.7773 1647555958.5269 81.6211 1647555958.5403 0
FUNC __main__.output 71.1562 1647555958.5411 76.6211 1647555958.6548 0
MEM 140.113281 1647555958.4695
MEM 154.726562 1647555958.4799
MEM 169.414062 1647555958.4901
MEM 177.847656 1647555958.5013
MEM 179.437500 1647555958.5139
MEM 83.898438 1647555958.5266
MEM 81.621094 1647555958.5392
MEM 75.160156 1647555958.5518
MEM 75.710938 1647555958.5645
MEM 75.730469 1647555958.5757
MEM 75.789062 1647555958.5883
MEM 76.000000 1647555958.6009
MEM 76.269531 1647555958.6134
MEM 76.554688 1647555958.6260
MEM 76.613281 1647555958.6385
MEM 76.621094 1647555958.6511
